crop_type,region,season,soil_type,irrigation_method,temperature_C,humidity_percent,rainfall_mm,leaf_wetness_hrs,soil_pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,days_since_last_rain,plant_age_days,pesticide_applied,fertilizer_kg_ha,disease_label
cotton,Central,Rabi,Sandy,Rainfed,29.168813572275962,,125.8267542770237,8.40693437075484,4.938447438872339,81.08625043737506,70.8283437583867,67.15378801206019,27.0,19.0,1.0,95.0150437424698,Fungal
maize,West,Rabi,Clay,Drip,24.960164471402997,72.49482914892532,0.8378127475452978,9.619134843823527,5.608479712880701,132.24239759482998,48.93778465729621,103.50459278302928,29.0,107.0,0.0,60.584069004130136,Bacterial
Maize,Central,,Clay,Drip,27.887775948537406,67.24637924337117,106.61279783823235,21.24485054097981,6.110474295124573,122.71700875102293,60.03722450998339,55.36314297953514,58.0,13.0,1.0,54.783423789575465,Healthy
rice,North,RABI,Loamy,Flood,30.661239329338862,95.23568249648784,6.418649524130334,14.209467243809407,5.680170840476725,129.4209281721001,55.74367441587666,102.36324197639878,21.0,44.0,1.0,41.6861087140852,Fungal
rice,East,RABI,Silty,Sprinkler,28.860322337147757,67.52710970309352,9.512173326631821,17.41675009491733,7.005353911020685,111.04061029454766,48.53064421246897,83.60147902985291,30.0,58.0,0.0,26.147493794397548,Fungal
Wheat,,Rabi,loamy,Drip,32.975563766481805,75.54497476259746,68.01808411310525,6.908958236796507,7.049323817668202,74.59775776561847,38.46060805962665,137.44124447982594,6.0,112.0,0.0,24.203890651085118,Bacterial
WHEAT,SOUTH,Zaid,Sandy,Drip,29.694527075800366,81.11216321765673,20.462067669988308,23.75689639593228,8.040913141319493,93.77605773387461,87.19123477837198,70.22405181284131,12.0,97.0,1.0,48.41683382573242,Fungal
maize,West,kharif,Loamy,Rainfed,30.42909504629673,73.50755437979731,22.15701134037422,6.7376338122103,6.943734457814445,110.34184474311226,18.77672311210926,61.472689502088485,38.0,28.0,0.0,53.08837046592938,Bacterial
rice,East,Kharif,Loamy,FLOOD,38.42991282299004,54.1454498263014,12.110580977283131,3.8166034938077624,5.596582179314243,133.08270052846416,86.63004252134274,22.735895559934214,28.0,16.0,0.0,61.48899694880598,Pest Damage
WHEAT,SOUTH,Rabi,CLAY,FLOOD,24.89607101215243,72.06715114356165,10.166858825344189,18.676670047175882,6.7642462927351446,67.54148153095873,33.247292530808735,118.85314185334104,55.0,39.0,1.0,60.02799589955305,Bacterial
Cotton,,Rabi,CLAY,Drip,31.10974707001624,62.52386250348618,4.492740204594565,20.137808038611198,6.500567651991947,50.663802876704054,70.86315432048019,,37.0,71.0,1.0,20.785768350342902,Healthy
cotton,north,kharif,CLAY,Flood,23.761767717335353,70.09989562971552,8.764627983570092,9.451086396459269,7.301901961142563,163.46751736313766,48.28870286189401,63.24805662699789,27.0,32.0,0.0,44.49856558800073,Healthy
Wheat,North,,CLAY,Drip,39.053266839011,45.320046281509164,33.45727679327379,12.985722773111483,7.0715821685519975,137.9364098926212,26.664357479843197,71.36351716938265,,79.0,1.0,,Pest Damage
Soybean,SOUTH,Kharif,sandy,,23.594018471560606,62.197759413611074,49.04994748642689,9.93907160652141,6.866364166152314,93.71754321124874,82.90683497178556,67.04382963494619,23.0,78.0,0.0,58.86224439971764,Healthy
Wheat,West,Kharif,,Drip,35.63689885298143,59.218804950715466,,7.054126943535652,7.788591324006886,112.95977734445034,12.013744464119782,54.885352563940856,54.0,36.0,,48.32738939266643,Pest Damage
Soybean,,Kharif,,FLOOD,29.70031517855254,73.2929383618188,18.489241087796483,19.521048764429604,7.92504026735443,107.36317116903234,75.92300043987045,52.16254942684664,13.0,31.0,0.0,,Fungal
cotton,North,Rabi,,,34.08823205715388,52.74797578971777,102.01867318001467,18.168896548460154,5.723443488847318,128.68989561735734,62.59852976728867,98.45056524762728,,22.0,1.0,36.209509529600375,Pest Damage
Rice,Central,,loamy,Flood,37.20440825209637,75.50846729090883,15.94323773639459,11.647887113588261,5.4120701396911555,104.77767078481169,81.01871203161576,33.154977326365824,49.0,84.0,1.0,32.9583653697899,Bacterial
Cotton,North,,Sandy,Flood,38.71145292643615,59.09250757990823,,10.933222137593017,5.049395694726615,85.54199040799685,72.52691485855036,78.82269343719977,0.0,30.0,1.0,2.951400089118195,Pest Damage
rice,north,Kharif,Sandy,Rainfed,37.33873060313152,88.10913971290422,116.17922657165303,4.323928674623193,7.101674234210017,134.6793768377836,72.2585710463481,64.47494542247455,48.0,41.0,1.0,83.63013496643842,Fungal
Cotton,West,Rabi,,,33.983062292062044,71.27665641099733,31.12007680857098,15.294560640984567,5.454915636724799,174.43188810981567,77.9581453231014,105.64633891735262,56.0,56.0,1.0,56.74757663199949,Bacterial
Cotton,North,Kharif,CLAY,,25.455803205908474,83.12150315742267,142.14070048078645,22.168265807551187,6.058200286435058,135.89364209668918,76.75145253793974,103.7377303064944,51.0,15.0,0.0,29.558424721929875,Fungal
Rice,,Kharif,,Rainfed,26.72872095393189,78.91370336185162,20.013008078739702,17.25225341560245,7.199532306606239,122.25222751664758,69.01358474651809,100.09993064439193,4.0,71.0,1.0,69.82174434743875,Fungal
Rice,north,kharif,CLAY,Rainfed,30.77800214778539,78.69235366092994,56.65254387856195,12.15049186263185,7.837856988505855,113.57218811862836,53.30793963084066,82.51995286763551,10.0,73.0,1.0,,Bacterial
Maize,north,Rabi,loamy,,35.192884635762745,45.26268503289208,4.658509009052734,0.9278042173613565,6.077586284644937,96.33765884951087,55.416564734453345,68.14388960184712,46.0,21.0,1.0,49.55989944717036,Pest Damage
Cotton,South,RABI,,Rainfed,37.84058438493854,44.99331261061354,76.98763205684808,22.326788263665943,8.207994374148818,,62.1353898009998,54.83648609727965,20.0,47.0,1.0,37.29169916358634,Pest Damage
WHEAT,South,,Sandy,Drip,36.78871412584765,,7.486922917237084,7.393064112647481,6.25186183299348,131.77023793690506,54.675426542539675,124.28045667558052,27.0,16.0,1.0,34.54427107710778,Bacterial
WHEAT,,RABI,,Flood,24.177303642769616,70.86004380110717,2.8460539547285633,7.198860503746774,8.203977589418013,155.61696787445044,103.72072996001705,100.46795332814847,12.0,72.0,1.0,81.31960361088994,Fungal
Rice,East,RABI,,Drip,31.145447953151777,,4.11469046726272,11.270305288817168,5.42727684722436,156.95680714631288,58.26962671710595,80.70199058328099,35.0,20.0,0.0,58.14087534560335,Fungal
cotton,West,Kharif,,Drip,28.873311710612448,74.44683369716749,32.60134832024529,10.299982154822366,6.59423759565541,125.11114107470596,37.00413544155877,89.9652869853117,56.0,37.0,1.0,57.99801144672535,Bacterial
Wheat,,Rabi,Silty,,24.305351518164112,46.39679685930847,13.805303448532282,23.096387928977542,6.209461170284265,125.60389921453024,57.58839687932078,61.01886295800226,33.0,38.0,1.0,30.440345621794663,Healthy
Rice,Central,Kharif,sandy,Sprinkler,31.500652104448935,68.42156290973438,129.7209245994168,3.9601789157603067,7.314771603763875,121.56649736995472,43.23064719695142,92.19512595306576,30.0,49.0,1.0,37.91072178168561,Healthy
Wheat,North,RABI,Clay,FLOOD,32.7949654229231,85.47512965679427,76.60500228618272,16.538931714616425,6.025348771522154,137.13033787171702,99.15705468539608,78.3029604505742,20.0,36.0,0.0,53.07760036395568,Fungal
maize,East,,Clay,Rainfed,26.34429464005307,69.42344015095567,-1.0,2.56231676993435,7.233144966106982,121.44279517119195,61.95557290686932,65.86662752132511,57.0,41.0,1.0,78.17704737692975,Healthy
Soybean,Central,RABI,Loamy,Sprinkler,23.241316917157,57.20118189761553,66.35320822883085,6.645541883885104,7.060905554042198,121.93405984427723,72.69601677733787,80.09028219411238,6.0,82.0,0.0,74.02906522694003,Healthy
Rice,north,Rabi,,,21.86094989293774,59.40917648673218,88.53805896979438,17.331292281663778,8.088530609217214,94.19316043777498,70.3037892299538,57.73482030917343,46.0,113.0,0.0,64.89046070034279,Healthy
Rice,north,,loamy,,,62.88591615737585,80.1615233197154,19.297042412613507,5.27530087087548,93.4793796544588,78.91381181804917,52.60496944992027,29.0,29.0,1.0,54.36105518202351,Healthy
Maize,SOUTH,kharif,Sandy,drip,,75.82559592442543,,11.25418829506831,7.040597975900147,99.26568666005775,,67.20786435119109,,96.0,0.0,71.2098161023515,Healthy
Wheat,north,,loamy,drip,32.93575362025905,46.14757543685377,108.94665382318493,18.944282602664885,8.136748512123694,127.19768433632268,52.024772591471326,66.43809532025148,30.0,53.0,1.0,,Pest Damage
rice,West,RABI,Clay,FLOOD,34.12653373160419,75.51688381804952,14.17118833845009,22.443049222981642,7.211351978361186,110.80799838120168,60.94495236516532,38.4307676113527,25.0,110.0,1.0,68.70691012239953,Fungal
Wheat,West,,Clay,Flood,28.465974997598206,90.91427958128253,,22.458898434356165,7.8169222998099075,197.4713452269435,35.46877113634802,,51.0,105.0,1.0,66.37917192349285,Fungal
Soybean,East,,loamy,,39.17809939356885,,41.211776486606446,8.219386930387303,5.444566319141799,131.63789917352779,57.00463623609232,131.16826514091767,22.0,66.0,1.0,55.161994097714015,Bacterial
WHEAT,South,kharif,Silty,,31.639833754033912,59.52623033672387,5.265041041857818,7.491356194487401,5.0263328155854055,167.12422789506525,,77.96175778425034,58.0,64.0,0.0,45.83747087259589,Healthy
Maize,North,kharif,sandy,Sprinkler,35.40374985443674,58.13210952550577,9.486915845293538,17.43467165261005,7.2521019779548945,164.54237006266624,74.70416532710391,62.342390862737346,44.0,11.0,0.0,41.57571630342663,Pest Damage
Cotton,Central,kharif,Silty,,37.44402681907909,66.87954649547147,,15.698268066444374,7.265808852327773,132.74009488175858,57.87423180991951,66.828365352177,30.0,73.0,1.0,76.00942235294879,Bacterial
cotton,East,RABI,Clay,Flood,23.991038884511436,75.05365899471252,41.917005882587816,9.414362598500375,5.287535037343745,118.7748379838225,100.23397635063777,76.39305340662337,32.0,53.0,1.0,49.539710937789344,Healthy
WHEAT,Central,Kharif,Loamy,,34.831259494159916,84.42646100133625,42.0903699937662,5.488159299488198,6.281124023041781,93.03023033981779,47.81131042412184,29.348840864244146,23.0,82.0,0.0,31.265235993393397,Fungal
cotton,,,,Flood,31.255091594392045,62.114386598151064,120.34337734401782,14.842365303469986,6.18277946834245,101.94406905575906,66.85505810805721,44.69410516282828,9.0,60.0,0.0,54.112204838697465,Pest Damage
Wheat,,,Clay,Rainfed,35.282529407520926,49.19080794932407,44.0595923551826,10.325735817641329,6.5062224339314705,145.21106120971027,53.94072751899338,75.91193857937931,3.0,68.0,0.0,57.97046890226884,Pest Damage
WHEAT,,,loamy,,26.6792223868408,70.21702972013495,22.541438825504848,3.17072259873233,6.2329992330309905,128.08945996927005,55.90752605636193,98.16294179327932,34.0,85.0,1.0,,Fungal
Rice,North,,Clay,drip,25.181512167291537,81.29602705535905,13.158635501952594,15.341970040963918,6.5557652789710685,100.7265029156381,67.87911825300134,85.60654695122712,34.0,,1.0,33.46864050897271,Bacterial
Wheat,West,kharif,loamy,Sprinkler,23.650401097869498,68.3020104573931,16.533160846412756,16.744185883010672,,113.77737478136967,71.52052213240336,97.9796923343248,9.0,28.0,1.0,71.58392192991467,Healthy
Soybean,Central,,,Sprinkler,32.1208029955012,51.3864733726886,13.018873640752078,8.741568241787334,,129.88351894985263,55.94542422240356,83.4717724729029,59.0,100.0,1.0,70.18806705718853,Pest Damage
Cotton,Central,,Loamy,,28.557724766289585,58.790527966946556,,19.96690577064126,5.994449376343016,120.74424789315898,43.27819062880555,74.76334693655619,55.0,12.0,1.0,,Healthy
Wheat,north,Zaid,,,36.67108886746341,56.33038616970151,12.129376612870978,1.7681539982712202,8.459159238367548,112.8549155217264,96.64470337407505,75.84465859505498,46.0,113.0,,56.69690585194146,Pest Damage
WHEAT,,RABI,Silty,Drip,29.834803620151042,77.17128591146067,72.16220640556563,11.901834719747372,6.341982176537733,118.35622552495668,62.02909657998718,72.67567413709085,12.0,111.0,0.0,59.56520743266135,Bacterial
rice,,Kharif,Silty,Rainfed,24.092713724209638,61.64462248802193,52.111818099247245,22.952027342810545,6.601967417521361,47.53417060729784,39.25945542615367,69.32156513463963,46.0,66.0,1.0,72.74548271731169,Bacterial
maize,West,Rabi,Sandy,FLOOD,35.18308570174735,88.13098246986627,38.897330475820674,4.571115281087579,6.508338612455586,120.54621666844676,39.55448102430718,82.39859146308217,26.0,57.0,0.0,22.637118207577544,Fungal
Maize,Central,kharif,,,,73.19949452177869,92.99542288444725,4.135781806253364,6.247858830162938,88.25148321358996,99.82020117689817,55.9246401678097,45.0,65.0,1.0,39.65131807161986,Healthy
Wheat,South,Kharif,Clay,,,50.58073883703243,12.267802751483291,9.088720458811451,6.402987004538353,130.90427037492506,109.27817713675967,45.62791104372837,18.0,28.0,1.0,70.80935515129143,Healthy
maize,Central,RABI,Sandy,Flood,28.651389763468337,70.85278262080456,34.48009894969473,6.434017021892504,4.790732049308172,124.01885307936118,66.73274705557463,82.26798628364442,33.0,65.0,1.0,59.614754861983904,Healthy
WHEAT,north,,CLAY,,20.433384085222436,70.46303563388217,1.273103643540949,5.316801448121549,5.977595001016512,142.45218947737473,47.72209730713159,64.51926579588208,55.0,74.0,1.0,,Healthy
rice,,,Loamy,,32.49411680736437,79.36558868972273,89.02738639274517,22.796233476773367,8.933860930747093,142.74558187569275,66.65164091630429,63.86344954706897,38.0,64.0,1.0,95.05047546477672,Bacterial
Cotton,North,Zaid,Loamy,,22.923187505070015,75.53635541100107,23.749231975627545,8.276346557976382,6.8078038189033565,171.5893914372059,53.88743390276953,86.97517989752484,43.0,104.0,0.0,84.8318556014353,Fungal
Wheat,West,Rabi,Silty,,16.983377846585952,39.47213023561773,,1.4361137928326304,6.3477378677728025,60.50598025176413,71.47210254347344,42.658642998689,27.0,87.0,1.0,35.81482070476331,Healthy
Cotton,East,Zaid,Sandy,,32.459842016220485,38.86540360983521,10.941522499939808,21.59476116327801,7.51071926204361,116.21825517503304,67.00176981268635,54.299549933453505,,42.0,1.0,57.81183467760954,Pest Damage
Maize,,Kharif,Sandy,Rainfed,35.58142702499335,57.43321887678015,75.41795520655205,10.75790514357236,6.052963890453657,58.78575382163504,59.35104376466052,98.98449427000723,27.0,38.0,0.0,34.086741910982504,Pest Damage
Maize,,RABI,Clay,drip,34.98079774219059,55.37059083808405,4.607733022485698,17.662602294067206,7.158179749759821,134.72089747751585,58.31228171871596,79.6166242435333,19.0,84.0,1.0,59.95040658664668,Pest Damage
Maize,North,RABI,CLAY,,33.496286127499765,49.67091979676619,103.71896318167029,8.816333934078749,7.974326877944079,114.9890935086383,55.59792540226727,76.38232422678375,21.0,110.0,1.0,78.49813140284724,Pest Damage
Maize,East,Zaid,Loamy,,22.545763038082068,66.39406196665973,18.70187594989189,22.44405688797951,,105.8771675365425,78.97090094852096,79.92025050490109,25.0,73.0,0.0,45.82010092317127,Healthy
WHEAT,South,,Sandy,FLOOD,31.365584514382757,80.88270349299601,11.565205608499054,6.907206130538611,4.791978008382698,128.01055495121966,56.14427712057793,77.72677726840031,55.0,119.0,1.0,55.13916631203336,Fungal
Maize,,,Clay,,33.73499043739414,79.44974056297232,16.13022366023962,15.90639943730863,6.059947392951301,88.4143386574226,101.11132258118613,73.35990733991297,23.0,30.0,0.0,10.317888190171423,Bacterial
Wheat,,Kharif,,Drip,,71.25412186663279,21.036434764879004,19.78427819329178,7.02292802077484,175.43544665618174,102.97563571736558,72.1589037945291,1.0,79.0,1.0,52.43202006501054,Bacterial
Soybean,North,RABI,Silty,,23.91522309979196,64.18809119744112,31.772936626318224,5.710386828197506,7.025885541358281,112.66750251157399,52.43469481119022,64.65908708255078,2.0,114.0,0.0,45.55211785525709,Healthy
Rice,West,RABI,loamy,,32.12044909335111,44.013341646033176,35.35366716391613,19.23626019209307,7.240200512604882,122.29599809716072,52.78616692880743,46.99955825625701,15.0,28.0,0.0,56.07458442446405,Pest Damage
WHEAT,SOUTH,Kharif,Silty,Sprinkler,20.770962116021053,57.281549275071484,23.755195443317675,19.01462426487006,4.963514987430188,116.14421888914848,,99.16383294264344,39.0,23.0,1.0,39.50067344443328,Healthy
cotton,East,,Silty,drip,26.720301375063947,50.34797078672445,23.64990726154913,23.141366444288913,,147.6722955168462,47.16544680494748,88.66621336040659,26.0,58.0,0.0,31.795104085987948,Healthy
maize,North,Kharif,Sandy,Flood,24.63540955772492,79.61445418215067,13.435684202443491,22.147485969041874,6.234231548545431,83.93386064678212,77.02509287660982,63.41424069249629,15.0,112.0,1.0,73.68848102625662,Fungal
Wheat,East,RABI,,FLOOD,31.109700291100587,59.26459931223298,19.36798126167208,9.3266094015074,6.310605749665387,144.84626222905348,83.68931524613208,53.13820205239239,8.0,27.0,1.0,29.250224312825324,Bacterial
rice,South,kharif,loamy,FLOOD,25.272124864058355,57.331850176062794,25.179737360759773,14.173050104695502,5.816281090075938,104.44306000759629,85.67115462755478,93.03156612711021,31.0,68.0,1.0,29.462074783285694,Bacterial
rice,North,Rabi,CLAY,,28.723402960044403,62.630526193096635,36.41115592484086,22.20706371790037,7.4189566047758015,104.70500064839464,55.8386563030903,88.72967535768767,18.0,67.0,0.0,53.80518935038967,Healthy
rice,SOUTH,Zaid,sandy,Drip,32.187758634691065,76.50906367725236,,0.105016148710801,6.882957701972142,146.38178919488453,55.59023089234929,92.44612081667304,17.0,119.0,0.0,102.599744771808,Pest Damage
maize,South,,sandy,Rainfed,26.3512358797884,75.88199364426292,57.75249761542071,15.05640340984925,7.136750713238118,111.95391854639361,20.17783436126645,74.43329072502715,20.0,11.0,1.0,54.491681160243076,Healthy
WHEAT,East,RABI,,,23.411175401291324,75.12030796822674,45.64883897231378,5.168724243250709,7.5215789313352985,138.41345462443732,46.862485220774744,85.36899040331846,2.0,111.0,0.0,37.4105892547092,Healthy
Soybean,north,kharif,sandy,Sprinkler,36.694592396467876,56.03259799896435,14.196651068242037,17.730384246313186,5.650199390460689,,41.36137723839597,152.84555105175446,23.0,93.0,1.0,37.2075098299819,Pest Damage
Rice,North,kharif,,Drip,33.5336006049472,38.2524658915203,24.598878204061904,19.115272586635612,7.455412783902291,109.5259216684767,37.855582715165056,44.969599116879444,53.0,11.0,1.0,59.524945072735974,Pest Damage
Rice,East,Kharif,,FLOOD,35.62378907588502,48.69296827712859,117.44497149903788,17.11102168897181,7.494461977829257,126.98819740386013,50.261240832492916,62.47407961702784,57.0,59.0,0.0,63.95734616741199,Pest Damage
cotton,,,Silty,Rainfed,36.95146891996531,49.64938220177694,0.8275980253663868,23.905872047845342,6.2743248950442805,105.48312217186967,53.85648537996619,107.64912150561189,27.0,12.0,1.0,37.206941084809664,Pest Damage
Cotton,north,Rabi,Loamy,,30.894658819823132,81.98676728731716,66.71481223118222,11.502183023828321,7.496615102683179,119.41302978320344,59.50578091931223,100.0230515940898,20.0,48.0,1.0,9.60945353037063,Bacterial
Rice,South,RABI,Loamy,Flood,33.734998743843846,68.5481208216177,28.675036123544967,13.472291455771883,6.365822075037123,134.21056342620034,87.19172872063388,72.03920082703654,3.0,91.0,1.0,43.43033229231226,Bacterial
Cotton,South,Zaid,sandy,Sprinkler,25.41019796761453,43.576853352102546,38.57855511273252,9.815818143482161,4.826863198429807,91.29738838612556,83.31005122017376,99.20762129482596,46.0,30.0,1.0,81.74351449091554,Healthy
rice,South,,Clay,Flood,28.867551019356178,83.31609055170978,46.1479921713206,23.375595699776323,6.84764404289422,,37.503012147547004,113.18225696033333,0.0,39.0,1.0,37.64357059879718,Fungal
Wheat,Central,Zaid,Silty,drip,24.463229526105025,70.24765409677111,24.353725821494947,22.146152424357236,5.617675426326462,129.5298996114,68.56128457947163,84.87700672551364,26.0,96.0,0.0,46.8242704469003,Fungal
Soybean,,kharif,,Drip,27.040908676181427,,8.520779021341816,23.679282723607137,6.470677351870819,75.3300145188463,44.00491616460442,135.2316636798883,17.0,66.0,1.0,18.111833707947152,Healthy
Rice,East,kharif,,,35.95144632962604,60.37640635088988,96.13626587920572,23.63738886494042,7.978870209516301,97.61767316511184,62.95826837646976,55.12510329588319,36.0,18.0,0.0,55.17775782088441,Bacterial
maize,Central,kharif,,Drip,23.333878798476274,80.68763759287332,53.91230378955303,21.49096283274765,6.387613352290208,99.25556245126913,86.21961394952984,84.57917959068118,19.0,12.0,1.0,37.19369066262296,Fungal
cotton,North,RABI,loamy,Flood,23.72425496281148,200.0,32.8019393060469,22.341060674685984,8.0068259279242,106.66835011671262,50.27354247381729,77.80403649104966,,99.0,0.0,48.634639958311794,Healthy
Rice,West,Zaid,sandy,FLOOD,27.513501032573327,71.83118988356901,23.801374677728752,2.8771481479381906,6.046754879620997,91.32326498108534,40.25275380311048,56.96061347496254,47.0,29.0,1.0,,Healthy
Rice,SOUTH,kharif,CLAY,FLOOD,29.37265812522228,71.95984272146559,27.672453196701873,4.16467284392177,6.974624006022269,148.1747868666701,61.029640495239946,91.24163588373105,33.0,53.0,0.0,19.19041048754611,Bacterial
rice,South,Zaid,,Sprinkler,24.020390189871016,71.56937737470885,69.38603608545584,21.24450192777737,6.807709968095057,151.81607697563996,86.4045699437653,58.71359709198097,4.0,32.0,1.0,44.223938884524465,Healthy
WHEAT,,Zaid,loamy,Drip,29.611170299667393,,0.5032892879447999,17.443211090232374,6.349014880866645,96.36368167262106,100.10411890735588,83.37372956708309,51.0,59.0,1.0,88.43994774135604,Pest Damage
rice,,Zaid,Sandy,FLOOD,32.434215695069334,81.59600191673518,80.19860088331976,20.999729082542544,6.344525638905075,85.37489976378473,47.67844502088909,94.45257721624095,16.0,106.0,0.0,74.44266233930173,Fungal
Maize,East,Rabi,Clay,Rainfed,25.01923145321789,80.41501686655035,1.9152060060797975,18.480804376170184,,119.59983256090594,62.63162742287321,64.11790754691538,19.0,110.0,1.0,54.96412995662409,Fungal
rice,North,RABI,Loamy,Flood,26.769429675626238,65.60725690749203,38.275454504236734,3.350005271115495,7.0313083409016155,159.9056591042219,65.50816609481885,57.97233317160199,37.0,96.0,1.0,36.97615901175114,Bacterial
Maize,South,,Loamy,Sprinkler,35.107407800107524,55.865049999785235,16.20596067183167,21.997576868160976,7.572721011314409,184.62599645649334,31.572339657342418,57.57381318186738,16.0,111.0,1.0,44.26437987403047,Pest Damage
rice,East,RABI,Loamy,drip,24.79223651873476,87.58185086034857,45.35751158690084,18.50948459841976,4.154177730580838,99.76263002908411,30.477885485644755,65.30301699949644,11.0,46.0,1.0,70.442884823374,Fungal
Rice,north,RABI,CLAY,Sprinkler,34.396359037055234,51.96849693414151,3.5769896220784183,13.69934874192023,7.357308202467931,51.75120764569361,66.4899324018283,87.90099607673882,30.0,69.0,1.0,50.12515262836656,Bacterial
Cotton,South,RABI,loamy,,32.702694849967116,46.38900653102171,32.498184187371166,12.776677642715782,5.4120283392012185,,52.48599061917581,61.1019961689088,19.0,14.0,0.0,43.913638536821296,Bacterial
Cotton,north,RABI,,,,49.30176301514389,77.30552542441777,13.771168218452997,7.5173652957096335,66.52623513595518,31.97278856650662,59.08267294348141,,87.0,1.0,43.01672054976906,Healthy
maize,SOUTH,Kharif,CLAY,,37.196654219272986,72.81968668306854,27.29919990948963,,5.489623334164263,132.50518655535924,73.73954462391751,100.28060762503603,30.0,47.0,1.0,49.20973980081055,Pest Damage
Rice,West,Rabi,Clay,Drip,35.08020043567034,73.59468194818655,3.5246948885857377,19.277264147845358,6.681574395285189,122.92583439082794,61.22147951912732,63.82780228498636,23.0,96.0,1.0,101.68516270104472,Bacterial
WHEAT,Central,,Loamy,,38.02458896309979,79.05419605270563,1.5237963541640402,21.81642001894826,4.724942619592756,126.51571574543546,60.23037902067595,92.47667256551331,49.0,112.0,0.0,33.867350835177625,Bacterial
Cotton,Central,Rabi,Sandy,,32.55738596784387,56.40336653992882,38.830019136862084,6.069960508723892,5.756942609733499,153.77791373958138,38.09439529113651,98.1607339366179,56.0,57.0,1.0,46.943617684229416,Pest Damage
Wheat,north,kharif,loamy,,33.289773982446036,62.66779767780709,2.8826425330385574,0.9131329590066786,7.719312941018872,168.8681670175129,25.872461438904153,62.9454332332776,25.0,119.0,1.0,54.52376841370122,Pest Damage
Rice,SOUTH,,loamy,Drip,22.167322277803926,66.89499061680218,2.958301521898839,4.870257696577892,7.08618848549469,145.28867405301514,48.04011438082856,64.34641574272267,53.0,85.0,,72.67544847468344,Bacterial
Soybean,West,Kharif,CLAY,Sprinkler,,45.08785324746947,22.16599554940187,18.176127409000582,,142.0557987720231,60.97420561829056,56.556299666569274,39.0,65.0,0.0,99.15872594859403,Pest Damage
Wheat,,,,drip,120.0,64.2986953995618,9.404005823515726,20.841625274445,6.474728342746448,75.77825160626718,45.824993021841195,90.66889259361035,14.0,90.0,1.0,72.02106918387727,Bacterial
cotton,West,Kharif,,drip,38.39649296334694,64.12295771727433,9.13608886195497,8.365572303972817,6.683353914238193,104.74216892195048,38.05749599401835,83.27720818359658,10.0,86.0,1.0,31.095433464973297,Bacterial
Soybean,,Rabi,CLAY,Flood,,69.07408024612859,26.232222729811507,3.6572883751621585,7.999066119262901,161.54464773922348,52.55916494945194,41.419864203168366,27.0,89.0,0.0,63.63920555055573,Bacterial
Cotton,,,,Sprinkler,33.220341618827014,61.71551893954857,13.184727902149337,20.604817282086948,6.371744625189101,103.51018987333693,60.70123599830827,70.50115230078316,40.0,71.0,0.0,70.4776548708579,Bacterial
rice,north,RABI,sandy,,19.768916478828288,65.7670260711533,9.900856366145923,5.151428581174184,6.515735190710191,153.16663100210485,88.29411681030322,74.4724661586063,34.0,100.0,1.0,44.28184550061126,Healthy
Rice,East,kharif,,,31.140591519291764,75.58464324562377,28.895995021334684,5.804980466091732,7.607105314731731,123.70142298773706,63.00449262345639,67.85108800899111,42.0,66.0,0.0,,Pest Damage
cotton,SOUTH,,Loamy,FLOOD,39.418950732889485,67.74586064929169,13.749431495464734,2.2227021125927484,6.464782536475586,143.49557799266407,30.658304105795665,130.21210799363377,40.0,33.0,1.0,58.026888145052965,Pest Damage
WHEAT,,,CLAY,drip,22.629005854904598,51.43468894935945,3.344849650134077,21.847781289646168,6.0986287109433155,93.84481946654176,19.556135898048424,101.64907141159608,37.0,46.0,1.0,58.18127824243671,Healthy
Soybean,north,Zaid,Loamy,,37.752099948433546,60.074271103903314,45.92122890279561,7.841360178532915,6.2424433701104185,142.89401801239498,10.929045029193631,86.77311634001792,11.0,69.0,0.0,54.80683080402396,Pest Damage
Maize,West,Kharif,,Rainfed,27.494092763427968,63.97327273468913,35.23771771208387,4.124192465041135,6.32453867937284,100.81567557948054,66.79618773197066,77.50682102246469,55.0,82.0,0.0,17.851238688252444,Healthy
maize,Central,Kharif,sandy,,29.200707566580327,,9.536234153770897,22.887478112912778,,126.91636526953833,38.95338100084058,86.91717366055067,54.0,26.0,1.0,58.25456928226387,Fungal
cotton,South,RABI,CLAY,,29.81494396329014,73.80896500989736,34.91453970511408,8.052490088998784,4.883764046688791,119.12707681087659,69.9572501928141,66.60563595433548,32.0,52.0,1.0,73.45587131341598,Bacterial
WHEAT,,Kharif,Clay,Rainfed,25.301866332506325,54.34539655650961,,17.939660361488432,6.466338810018116,155.76114309048143,83.60037976341917,112.13200906624556,53.0,96.0,0.0,62.534635016993,Healthy
WHEAT,West,Rabi,sandy,FLOOD,34.23093307144056,40.96405340609448,125.38005501825592,5.529494129740232,6.862262524247809,144.96217885280396,71.80764934910371,65.85918888657757,15.0,21.0,1.0,37.97602357536729,Pest Damage
Wheat,West,Kharif,loamy,Flood,36.831319997950544,49.88592592600014,30.366557430919876,17.443818613368574,7.3489088813614885,67.02868189537374,55.458139415097875,92.92875789322186,12.0,,0.0,58.357733716015545,Pest Damage
maize,South,Zaid,Loamy,Rainfed,28.24324762870247,88.71377786711693,4.126948162652514,5.571893276880132,,95.6879958921079,96.96805248395401,99.22260204634412,50.0,14.0,,71.05356443270853,Fungal
